id,id,text,product,sentiment,is_google,is_apple,has_sentiment,pos_sentiment
21,21.0,"Oh. My. God. The SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,positive,0.0,1.0,1.0,1.0
22,22.0,"Okay, this is really it: yay new @Foursquare for Android app!!!!11 kthxbai. sxsw",Android App,positive,1.0,0.0,1.0,1.0
23,23.0,"Photo: Just installed the SXSW iPhone app, which is really nice! 6t1pi6av7",iPad or iPhone App,positive,0.0,1.0,1.0,1.0
24,24.0,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at SXSW,Android App,positive,1.0,0.0,1.0,1.0
25,25.0,"RT @LaurieShook: I'm looking forward to the SMCDallas pre SXSW party Wed., and hoping I'll win an iPad resulting from my shameless promotion.  ChevySMC",iPad,positive,0.0,1.0,1.0,1.0
26,26.0,"RT haha, awesomely rad iPad app by @madebymany  hollergram sxsw (via @michaelpiliero)",iPad or iPhone App,positive,0.0,1.0,1.0,1.0
27,27.0,"someone started an austin @PartnerHub group in google groups, pre-sxsw. great idea",Other Google product or service,positive,1.0,0.0,1.0,1.0
28,28.0,The new 4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight  SXSW KeepAustinWeird,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
29,29.0,"They were right, the @gowalla 3 app on android is sweeeeet! Nice job by the team there. sxsw",Android App,positive,1.0,0.0,1.0,1.0
30,30.0,Very smart from @madebymany hollergram iPad app for sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,positive,0.0,1.0,1.0,1.0
31,31.0,You must have this app for your iPad if you are going to SXSW 420666439?mt=8 hollergram,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
36,36.0,The best!  RT @mention Ha! First in line for ipad2 at sxsw &quot;pop-up&quot; Apple store was an event planner eventprofs pcma engage365,iPad,positive,0.0,1.0,1.0,1.0
38,38.0,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} Google Circles Social SXSW,Google,negative,1.0,0.0,1.0,0.0
40,40.0,@mention  - Great weather to greet you for sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,positive,0.0,1.0,1.0,1.0
45,45.0,IPad2 's Û÷SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} apple SXSW,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
47,47.0,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For SXSW | @mention {link},Apple,positive,0.0,1.0,1.0,1.0
49,49.0,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. sxswÛ,Apple,positive,0.0,1.0,1.0,1.0
55,55.0,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems bettercloud sxswÛ,Google,positive,1.0,0.0,1.0,1.0
57,57.0,{link} RT @mention 1st stop on the SXSW Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,positive,0.0,1.0,1.0,1.0
62,62.0,OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} sxsw iPad2,Apple,positive,0.0,1.0,1.0,1.0
67,67.0,attending @mention iPad design headaches sxsw {link},iPad,negative,0.0,1.0,1.0,0.0
69,69.0,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! sxswi SXSW  {link},iPad,positive,0.0,1.0,1.0,1.0
72,72.0,"Do it. RT @mention Come party w/ Google tonight at sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,positive,1.0,0.0,1.0,1.0
75,75.0,Holla! RT @mention At google party. Best ever! Get your butt over here. sxsw,Google,positive,1.0,0.0,1.0,1.0
76,76.0,I love my @mention iPhone case from Sxsw but I can't get my phone out of it fail,iPhone,positive,0.0,1.0,1.0,1.0
80,80.0,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} sxsw,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
81,81.0,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. sxsw,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
83,83.0,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up SXSW Apple Store tomorrow: {link}",Apple,positive,0.0,1.0,1.0,1.0
84,84.0,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her sxsw sxwsi",Google,positive,1.0,0.0,1.0,1.0
89,89.0,Thanks to @mention for her mention of our new Speech iPad apps being showcased at the SXSW Conf. {link} sxswh sxsh,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
92,92.0,What !?!? @mention  SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,negative,0.0,1.0,1.0,0.0
95,95.0,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... SXSW is Christmas for nerds.",iPad,positive,0.0,1.0,1.0,1.0
96,96.0,Yai!!! RT @mention New UberSocial for iPhone now in the App Store includes UberGuide to SXSW sponsored by (cont) {link},iPhone,positive,0.0,1.0,1.0,1.0
98,98.0,"Fast, Fun &amp; Future: @mention of Google presenting at sxsw on search, local and mobile",Google,positive,1.0,0.0,1.0,1.0
101,101.0,Headline: &quot;iPad 2 is the Must-Have Gadget at SXSW&quot; Hmm... I could have seen that one coming! {link} gadget,iPad,positive,0.0,1.0,1.0,1.0
104,104.0,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. sxsw Bizzy",Google,positive,1.0,0.0,1.0,1.0
106,106.0,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, 911tweets panel at SXSW.Û",Google,positive,1.0,0.0,1.0,1.0
109,109.0,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; bawling sxsw",Apple,positive,0.0,1.0,1.0,1.0
111,111.0,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. sxsw jwtatl enchantment  via @mention,Apple,positive,0.0,1.0,1.0,1.0
114,114.0,"SXSW and Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. sxswi",iPad,positive,0.0,1.0,1.0,1.0
116,116.0,"At SXSW, Apple schools the marketing experts - {link}",Apple,positive,0.0,1.0,1.0,1.0
118,118.0,"Temporary apple store is def not a tent, it's a powerhouse gym SXSW  {link}",Apple,positive,0.0,1.0,1.0,1.0
119,119.0,"Temporary Apple store on 6th and Congress for sxsw, along with 10,000 very happy hipsters.",Apple,positive,0.0,1.0,1.0,1.0
120,120.0,ÛÏ@mention Apple wins SXSW {link} Opening a temporary store in downtown Austin to support iPad2 launch - That is good.,Apple,positive,0.0,1.0,1.0,1.0
121,121.0,iPad and Austin are trending today. Have fun at sxsw all you nerdy nerds!!!,iPad,positive,0.0,1.0,1.0,1.0
124,124.0,Christian iPad iPhone devs I want to talk to u at sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
126,126.0,The Apple iPAD2  has taken SxSW and Austin by storm.. {link}  @mention excited to a be a part mobile,iPad,positive,0.0,1.0,1.0,1.0
127,127.0,I can haz iPad2 ifrom SxSW Gr8 {link},iPad,positive,0.0,1.0,1.0,1.0
128,128.0,"Stacks of ipad2's waiting to be bought at sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,positive,0.0,1.0,1.0,1.0
135,135.0,"Take that SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,positive,0.0,1.0,1.0,1.0
136,136.0,"Beautiful sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,positive,0.0,1.0,1.0,1.0
142,142.0,Must have SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,positive,0.0,1.0,1.0,1.0
143,143.0,Temporary sxsw apple store. Apple being sneaky as usual  {link},Apple,positive,0.0,1.0,1.0,1.0
145,145.0,ÛÏ@mention sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
146,146.0,Apple won SxSW from day one. Seeing a TON of iPad2,iPad,positive,0.0,1.0,1.0,1.0
149,149.0,ÛÏ@mention sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,iPad,positive,0.0,1.0,1.0,1.0
150,150.0,ÛÏ@mention sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,iPad,positive,0.0,1.0,1.0,1.0
151,151.0,Offered a sxsw ipad promo to ninjafinder users and fans who are not here at sxsw. Sucks to not be here. sxsw,iPad,positive,0.0,1.0,1.0,1.0
156,156.0,POURsite SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,iPad,positive,0.0,1.0,1.0,1.0
161,161.0,The Apple SXSW store still has iPad 2's and short lines.,iPad,positive,0.0,1.0,1.0,1.0
163,163.0,"Just left sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,positive,1.0,0.0,1.0,1.0
166,166.0,Anyone at sxsw want to make a quick hundred dollars? New ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,positive,0.0,1.0,1.0,1.0
168,168.0,"Monday at sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,positive,1.0,0.0,1.0,1.0
170,170.0,"Seriously sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,negative,0.0,1.0,1.0,0.0
171,171.0,Ready for SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} SXSW SXSWi,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
172,172.0,ipad2 and sxsw...a conflagration of doofusness.  {link},iPad,negative,0.0,1.0,1.0,0.0
173,173.0,attention sxsw'ers - {link} - rumored pop-up temporary Apple store for all your sxsw iPad 2 launch needs.,Apple,positive,0.0,1.0,1.0,1.0
174,174.0,I went to sxswi and all I won was this lousy iPad sxsw :-) :-) {link},iPad,positive,0.0,1.0,1.0,1.0
177,177.0,This is a WINNING picture android google sxsw {link},Android,positive,1.0,0.0,1.0,1.0
180,180.0,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? ipad2 SXSW {link}",iPad,negative,0.0,1.0,1.0,0.0
182,182.0,Behind on 100s of emails? Give them all 1 line iPhone composed replies. SXSW protip,iPhone,positive,0.0,1.0,1.0,1.0
183,183.0,It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. sxsw,iPad,positive,0.0,1.0,1.0,1.0
190,190.0,"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. sxsw",iPad,negative,0.0,1.0,1.0,0.0
192,192.0,The iPad 2 Takes Over SXSW [VIDEO] /by @mention {link},iPad,positive,0.0,1.0,1.0,1.0
193,193.0,many iPad 2's snapping away at the keynote slides! sxsw,iPad,positive,0.0,1.0,1.0,1.0
196,196.0,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} SXSW SXSWi,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
198,198.0,sweet new 3-d google maps demo going on in ballroom D SXSW,Other Google product or service,positive,1.0,0.0,1.0,1.0
199,199.0,More than 35 million miles per day are driving with Google Maps Navigation! SXSW,Other Google product or service,positive,1.0,0.0,1.0,1.0
203,203.0,SXSW day 5 at the apple store and there's still a line...and growing {link},Apple,positive,0.0,1.0,1.0,1.0
206,206.0,"If you're a band at SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Android App,positive,1.0,0.0,1.0,1.0
211,211.0,if u have a iPhone you don't need a car'-use zimride etc to share rides sxsw shareable,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
214,214.0,Picked up a Mophie battery case 4 my iPhone in prep for SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,iPhone,positive,0.0,1.0,1.0,1.0
217,217.0,"Not to be a rumor monger, but this was a good read å_ Google Circles preview @mention sxsw {link} by @mention via @mention socbiz fb",Other Google product or service,positive,1.0,0.0,1.0,1.0
219,219.0,Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} SXSW,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
220,220.0,build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  apple sxsw ipad2,Apple,positive,0.0,1.0,1.0,1.0
223,223.0,Just read about GroupMe at SXSW...sounds like an incredible app. Is it available for Android phones yet?,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
233,233.0,"If iPhone alarms botch the timechange, how many SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",iPhone,negative,0.0,1.0,1.0,0.0
234,234.0,Shouts to all the ladies holding up their iPad 2's at free sxsw shows to take photos while sipping free beer. /cc: @mention,iPad,positive,0.0,1.0,1.0,1.0
236,236.0,I meant I also wish I  at SXSW dyac stupid iPhone!,iPhone,negative,0.0,1.0,1.0,0.0
240,240.0,Rumors of an Apple store opening for SXSW at 6th &amp; Congress. All signs point to yes! {link},Apple,positive,0.0,1.0,1.0,1.0
244,244.0,picked up an ipad 2 at the sxsw pop up  apple store! only 15 minute wait!,iPad,positive,0.0,1.0,1.0,1.0
245,245.0,Brilliant and enlightening game mechanics presentation by @mention from Google SXSW,Google,positive,1.0,0.0,1.0,1.0
251,251.0,marketing and sales GENIUS: {link} Apple SXSW,Apple,positive,0.0,1.0,1.0,1.0
257,257.0,"Do I need any more for sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)",iPhone,positive,0.0,1.0,1.0,1.0
259,259.0,The SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
261,261.0,"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention batterykiller SXSW",iPad or iPhone App,negative,0.0,1.0,1.0,0.0
262,262.0,the SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 scoremore,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
264,264.0,Love this app! So awesome. RT @mention Must see android app at sxsw &quot;Bizzy&quot; {link},Android App,positive,1.0,0.0,1.0,1.0
268,268.0,Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle SXSW PickMeUpAniPad2,Apple,negative,0.0,1.0,1.0,0.0
269,269.0,Love that Apple didn't let something like not having a retail store near SXSW keep them away by opening a pop-up store {link},Apple,positive,0.0,1.0,1.0,1.0
270,270.0,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for SXSW can get their new ... {link} Cnet,Apple,positive,0.0,1.0,1.0,1.0
271,271.0,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for SXSW can get their new iPads. {link} cnet,iPad,positive,0.0,1.0,1.0,1.0
273,273.0,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for SXSW can get their new iPads.... {link},Apple,positive,0.0,1.0,1.0,1.0
275,275.0,ÛÏ@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  sxsw,Apple,positive,0.0,1.0,1.0,1.0
276,276.0,ÛÏ@mention Apple is opening up a temporary store in downtown Austin for SXSW and the iPad 2 launch {link} gswsxsw,Apple,positive,0.0,1.0,1.0,1.0
277,277.0,ÛÏ@mention Apple is opening up a temporary store in downtown Austin for SXSW and the iPad 2 launch&quot; oh YAY more traffic.,Apple,negative,0.0,1.0,1.0,0.0
280,280.0,"The sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]",iPad,positive,0.0,1.0,1.0,1.0
281,281.0,"technews Apple saves SXSW, set to open pop-up store {link} Tech_News Apple SXSW tech",Apple,positive,0.0,1.0,1.0,1.0
283,283.0,"At SXSW, Apple schools the marketing experts {link}",Apple,positive,0.0,1.0,1.0,1.0
284,284.0,"At SXSW, Apple schools the marketing experts {link} via @mention",Apple,positive,0.0,1.0,1.0,1.0
285,285.0,"At SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them.",Apple,positive,0.0,1.0,1.0,1.0
286,286.0,"At SXSW, Apple schools the marketing experts | CNET - {link}",Apple,positive,0.0,1.0,1.0,1.0
287,287.0,"At SXSW, Apple schools the marketing experts | CNET Blogs {link} Austin ATX retail",Apple,positive,0.0,1.0,1.0,1.0
288,288.0,ÛÏ@mention Apple store downtown Austin open til Midnight. sxswÛ @mention there's still time :),Apple,positive,0.0,1.0,1.0,1.0
291,291.0,&quot;The Apple store at the mall on Sunday is 10x as crowded as this. This line is fake. I just need a fucking dongle.&quot; Genius let me in. sxsw,Apple,negative,0.0,1.0,1.0,0.0
294,294.0,Makeshift apple store at 6th and congress. You're kidding me. Amazing sxsw apple,Apple,positive,0.0,1.0,1.0,1.0
296,296.0,Temporary Apple store at SXSW is really cool...as is the iPad 2 :) apple SXSW fanboy,iPad,positive,0.0,1.0,1.0,1.0
297,297.0,Temporary Apple Store being set up for SXSW... shit now the temptation is going to be out of control.,Apple,positive,0.0,1.0,1.0,1.0
300,300.0,Temporary apple store opens at 5pm at 6th and congress. Line already growing. iPad - view.io {link} via @mention sxsw,Apple,positive,0.0,1.0,1.0,1.0
301,301.0,Temporary Apple Store will be a block from my office! Can't wait to see the line tomorrow. Photos to come... sxsw iPad2,Apple,positive,0.0,1.0,1.0,1.0
304,304.0,iPad news apps 'so last year' at SXSW {link},iPad or iPhone App,negative,0.0,1.0,1.0,0.0
305,305.0,10 iPhone Apps youÛªll Probably Need and Use During SXSW {link},iPad or iPhone App,positive,0.0,1.0,1.0,1.0
306,306.0,Now there are 150 million mobile google maps users @mention sxsw,Other Google product or service,positive,1.0,0.0,1.0,1.0
308,308.0,And a few are Android too RT @mention 10 New Mobile Apps IÛªll Be Using atåÊSXSW  {link},Android App,positive,1.0,0.0,1.0,1.0
310,310.0,"iPad apps are just like software development in that once you release it, you have to start working on the update. sxsw",iPad or iPhone App,positive,0.0,1.0,1.0,1.0
323,323.0,Overheard at sxsw &quot;the iPad is a relaxing computer&quot;: agreed. iPad apple,iPad,positive,0.0,1.0,1.0,1.0
324,324.0,Overheard at sxsw interactive: &quot;Arg! I hate the iphone! I want my blackberry back&quot; shocked,iPhone,negative,0.0,1.0,1.0,0.0
326,326.0,ÛÏ@mention at sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û,Apple,negative,0.0,1.0,1.0,0.0
331,331.0,"Last year at SXSWi everbody was talking about the iPad, this year it's social media driven revolutions. This year is better. sxsw",iPad,positive,0.0,1.0,1.0,1.0
332,332.0,"Long line at Apple Pop up store for iPad 2. Great marketing, Apple. SXSW",Apple,positive,0.0,1.0,1.0,1.0
333,333.0,"ÛÏ@mention At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. agileagency SXSWÛ",Google,positive,1.0,0.0,1.0,1.0
334,334.0,knackered at home playing with ipad and updating iphone. but timeline smashed with partytweets can't make me go to bed.. sxsw,iPad,positive,0.0,1.0,1.0,1.0
335,335.0,overheard at MDW (and I'll second it) &quot;halfway through my iPhone battery already and I haven't even boarded the plane to sxsw&quot; amateurhour,iPhone,negative,0.0,1.0,1.0,0.0
336,336.0,"technews At SXSW, Apple schools the marketing experts {link} Tech_News Apple Jobs_Co SXSW tech",Apple,positive,0.0,1.0,1.0,1.0
338,338.0,Huge line at the apple store in austin - sxsw crowd tripping over each other to get the new ipad,iPad,positive,0.0,1.0,1.0,1.0
339,339.0,If ur not at the google aclu 80's party....u should be! sxsw,Google,positive,1.0,0.0,1.0,1.0
344,344.0,I laughed at the iPad until I spent this week hauling my macbook everywhere. Now I really want an iPad and a shoulder rub. sxsw,iPad,positive,0.0,1.0,1.0,1.0
345,345.0,Any SXSW attendees need a QR code reader for their iPhone? Tweet us an image of you with your badge and the first 5 get Optiscan free!,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
346,346.0,Hey SXSW attendees...you should hop in line at the Apple store now. Only four days til your new iPad2 comes in...,iPad,positive,0.0,1.0,1.0,1.0
350,350.0,they took away the lego pit but replaced it with a recharging station ;) sxsw and i might check prices for an iphone - crap samsung android,Android,negative,1.0,0.0,1.0,0.0
352,352.0,".@mention Bad Apple: shows up late, Qs the process, poo-poos ideas, leaves early. Can even be &quot;I'm too creative&quot; or busy gamestorming sxsw",Apple,negative,0.0,1.0,1.0,0.0
354,354.0,Trying to balance the power of power needs on iPhone vs iPad at sxsw. This 3G iPad sucks it out quick. Might have go airplane mode.,iPad,negative,0.0,1.0,1.0,0.0
356,356.0,My iPhone battery at 100%. winning at SXSW,iPhone,positive,0.0,1.0,1.0,1.0
357,357.0,My iPhone battery can't keep up with my tweets! Thanks Apple.  SXSW  precommerce,iPhone,negative,0.0,1.0,1.0,0.0
359,359.0,this will be fun to watch. ipadmadness RT @mention Apple Opening Pop-Up Store In Austin For SXSW {link} sxsw,Apple,positive,0.0,1.0,1.0,1.0
360,360.0,This will be out of control: Apple set to open popup shop in core of SXSW action {link} via @mention  cc @mention,Apple,positive,0.0,1.0,1.0,1.0
362,362.0,Celebrate Beauty of the Web @mention the MSFT IE9 launch &amp; play our new html5 game to win an iPad2 {link} sxsw,iPad,positive,0.0,1.0,1.0,1.0
367,367.0,ÛÏ@mention Best thing I've heard this weekend at SXSW &quot;I gave my iPad 2 money to Japan relief. I don't need an iPad 2.&quot;  @mention,iPad,negative,0.0,1.0,1.0,0.0
369,369.0,IPad 2 is better..they have had time to improve sxsw,iPad,positive,0.0,1.0,1.0,1.0
371,371.0,{link} Go beyond Earth Hour this year by sharing positive actions with the world. Download the EarthHour 60+ iPhone app. SXSW,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
373,373.0,Google vs Bing on bettersearch. Bing has a shot at success w/ structured search.  Potentially higher margin CPA model vs Google. SXSW,Google,negative,1.0,0.0,1.0,0.0
374,374.0,Of course Bing results are good they are Google's:) SEO SXSW qagb,Google,positive,1.0,0.0,1.0,1.0
380,380.0,impulsive buy = all your friends at SXSW -&gt; I now have one too. Selling my 1st gen 32gb 3g iPad now,iPad,positive,0.0,1.0,1.0,1.0
381,381.0,ÛÏ@mention Buying 2 new iPad's with @mention geekdate apple sxsw ipad2Û :),iPad,positive,0.0,1.0,1.0,1.0
382,382.0,Someone's buying herself a present ;-) RT @mention Apple Is Opening A Pop-Up Store In Austin For SXSW {link},Apple,positive,0.0,1.0,1.0,1.0
383,383.0,Nice find by RSQ's @mention {link} sxsw iPad app,iPad or iPhone App,positive,0.0,1.0,1.0,1.0
388,388.0,"Exciting, canÛªt wait! RT @mention Apple is opening up a temporary store in downtown Austin for SXSW &amp; the iPad 2 launch {link}",Apple,positive,0.0,1.0,1.0,1.0
389,389.0,"Great for certain meetings. RT @mention Hello, Holler Gram, our new iPad app {link} hollergram sxsw",iPad or iPhone App,positive,0.0,1.0,1.0,1.0
390,390.0,Dont miss Charles Chen for Android/ChromeOS  Access at SXSW: @mention the Google booth in Exhibit Hall 3 @mention 1PM sxsw,Google,positive,1.0,0.0,1.0,1.0
405,405.0,"iPad 2 is coming out at SXSW, guess Apple's pretty desperate to give it attention.",Apple,negative,0.0,1.0,1.0,0.0
406,406.0,"If you're coming to SXSW be sure to download the SXSW Go app, it has all the schedules and locations of the events. {link}",iPad or iPhone App,positive,0.0,1.0,1.0,1.0
407,407.0,Seriously considering leaving my MacBook Pro at home and flying solo with the iPad for a week. Think I can make it work? sxsw,iPad,positive,0.0,1.0,1.0,1.0
420,420.0,Four more days! ipad sxsw weekend battlela,iPad,positive,0.0,1.0,1.0,1.0
421,421.0,IPhone is dead. Find me on the secret batphone sxsw.,iPhone,negative,0.0,1.0,1.0,0.0
428,428.0,Google TV demo at the league for extraordinary hackers. Cool stuff! I like Web apps on TV. google sxsw lxh,Other Google product or service,positive,1.0,0.0,1.0,1.0
429,429.0,Best iPad design: Big chunky elements. Generous space. Clarity trumps density. Tap quality trumps tap quantity. tapworthy sxsw,iPad,positive,0.0,1.0,1.0,1.0
430,430.0,Attending Designing iPad Interfaces - New Navigation Schemas w/ @mention Great stuff so far.  sxsw,iPad,positive,0.0,1.0,1.0,1.0
442,442.0,Why Barry Diller thinks iPad only content is nuts @mention SXSW @mention {link} @mention,iPad,negative,0.0,1.0,1.0,0.0
443,443.0,We really DO need another big social network right now - thanks! SXSW Google {link},Other Google product or service,positive,1.0,0.0,1.0,1.0
445,445.0,In Japan: Docomo introduced mobile apps six years before Apple came out with app store. jpmobilesummit sxsw,Apple,negative,0.0,1.0,1.0,0.0
